"start_station_name","end_station_name","route_freq","start_lat","start_lng","end_lat","end_lng"
"Streeter Dr & Grand Ave","Streeter Dr & Grand Ave",10699,41.891899824,-87.626546025,41.89217566666667,-87.612317
"DuSable Lake Shore Dr & Monroe St","DuSable Lake Shore Dr & Monroe St",6767,41.8808685,-87.61684933333333,41.84593633333333,-87.616799
"DuSable Lake Shore Dr & Monroe St","Streeter Dr & Grand Ave",5254,41.8808975,-87.61686466666667,41.89217033333333,-87.61223183333334
"Michigan Ave & Oak St","Michigan Ave & Oak St",4653,41.90043566666667,-87.62430816666667,41.90096,-87.6237895
"Millennium Park","Millennium Park",4110,41.876858166666665,-87.624432,41.8810317,-87.624169469
"Montrose Harbor","Montrose Harbor",2951,41.95443466666666,-87.64318616666667,41.963982,-87.638181
"Streeter Dr & Grand Ave","DuSable Lake Shore Dr & Monroe St",2892,41.89210383333333,-87.61241133333333,41.880958,-87.61678233333333
"Streeter Dr & Grand Ave","Millennium Park",2775,41.89198283333333,-87.61239416666666,41.8810317,-87.62412133333333
"Shedd Aquarium","Shedd Aquarium",2495,41.8671545,-87.615557,41.8672145,-87.6154595
"DuSable Lake Shore Dr & North Blvd","DuSable Lake Shore Dr & North Blvd",2448,41.91152916666667,-87.627157092,41.911685,-87.626804
"Shedd Aquarium","Streeter Dr & Grand Ave",2448,41.86714383333333,-87.6155575,41.8922585,-87.61213883333333
"Dusable Harbor","Dusable Harbor",2420,41.886802333333335,-87.61289233333333,41.88693233333333,-87.612841249
"Millennium Park","Streeter Dr & Grand Ave",2418,41.88081966666667,-87.624422312,41.892197333333336,-87.61224633333333
"Streeter Dr & Grand Ave","Michigan Ave & Oak St",2387,41.892017333333335,-87.62672833333333,41.90091216666666,-87.62380433333334
"Theater on the Lake","Theater on the Lake",2270,41.9260325,-87.63127716666666,41.92624833333333,-87.63099233333334
"Streeter Dr & Grand Ave","DuSable Lake Shore Dr & North Blvd",2202,41.892092,-87.6125915,41.911722,-87.626804
"Indiana Ave & Roosevelt Rd","Indiana Ave & Roosevelt Rd",1979,41.867702842,-87.62318383333333,41.867888,-87.623041
"Dusable Harbor","Streeter Dr & Grand Ave",1890,41.8868065,-87.61291383333334,41.8921885,-87.612043
"Adler Planetarium","Adler Planetarium",1864,41.866021833333335,-87.6074465,41.86608816666666,-87.6074
"DuSable Lake Shore Dr & Monroe St","Shedd Aquarium",1821,41.88088733333333,-87.61694283333334,41.86722595682,-87.61544133333334
"DuSable Lake Shore Dr & North Blvd","Streeter Dr & Grand Ave",1811,41.911496666666665,-87.62729883333333,41.892278,-87.61218616666666
"Michigan Ave & Oak St","Streeter Dr & Grand Ave",1786,41.90067366666667,-87.6241075,41.89214566666666,-87.612043
"Shedd Aquarium","DuSable Lake Shore Dr & Monroe St",1738,41.867143,-87.61555033333333,41.880958,-87.61676833333334
"Streeter Dr & Grand Ave","Theater on the Lake",1712,41.892028333333336,-87.61242016666667,41.926223516,-87.63104856
"Michigan Ave & 8th St","Michigan Ave & 8th St",1637,41.8719555,-87.6245625,41.872355,-87.6240535
"Shedd Aquarium","Millennium Park",1571,41.867176,-87.61554416666667,41.8810317,-87.62414733333334
"Theater on the Lake","Streeter Dr & Grand Ave",1534,41.92598266666667,-87.63121166666667,41.89224583333333,-87.61226633333334
"Streeter Dr & Grand Ave","Shedd Aquarium",1492,41.892002833333336,-87.61247483333334,41.86720866666667,-87.6153553902
"DuSable Lake Shore Dr & Monroe St","Dusable Harbor",1481,41.880881333333335,-87.616830468,41.886884,-87.61283516666667
"Fort Dearborn Dr & 31st St","Fort Dearborn Dr & 31st St",1448,41.838439,-87.608344674,41.8384945,-87.608218
"Buckingham Fountain","Buckingham Fountain",1435,41.876158,-87.62057183333333,41.87629283333333,-87.620473
"Michigan Ave & Washington St","Michigan Ave & Washington St",1302,41.882254601,-87.6253715,41.883984,-87.624684
"DuSable Lake Shore Dr & Belmont Ave","DuSable Lake Shore Dr & Belmont Ave",1233,41.94047283333333,-87.63933283333333,41.940775,-87.639192
"McClurg Ct & Ohio St","McClurg Ct & Ohio St",1222,41.890952,-87.61875183333333,41.892592,-87.61728912591934
"Shore Dr & 55th St","Shore Dr & 55th St",1181,41.79513983333333,-87.5812095,41.795212,-87.58092716666667
"Streeter Dr & Grand Ave","Wabash Ave & Grand Ave",1164,41.892088666666666,-87.6123875,41.891399166666666,-87.626761
"Lakefront Trail & Bryn Mawr Ave","Lakefront Trail & Bryn Mawr Ave",1151,41.98393933333333,-87.65257666666666,41.98403669612,-87.6523104689
"New St & Illinois St","New St & Illinois St",1136,41.88978933333333,-87.61918833333333,41.890847,-87.618617
"DuSable Lake Shore Dr & Wellington Ave","DuSable Lake Shore Dr & Wellington Ave",1117,41.936578833333336,-87.63718783333333,41.936688,-87.63682901859283
"DuSable Lake Shore Dr & Diversey Pkwy","DuSable Lake Shore Dr & Diversey Pkwy",1080,41.9324025,-87.636559,41.932588,-87.636427
"Ellis Ave & 60th St","Ellis Ave & 55th St",1074,41.78495872,-87.601220965,41.79428,-87.60145
"Michigan Ave & Lake St","Michigan Ave & Lake St",1063,41.88509316666666,-87.62541783333333,41.885714666666665,-87.62459133333333
"Wabash Ave & Grand Ave","Wabash Ave & Grand Ave",1050,41.890332666666666,-87.62760033333333,41.891466,-87.626761
"Michigan Ave & Oak St","Theater on the Lake",1045,41.90051966666667,-87.62412483333334,41.926227,-87.631082
"Dusable Harbor","DuSable Lake Shore Dr & Monroe St",1027,41.881371021,-87.616778016,41.880958,-87.616772652
"Millennium Park","DuSable Lake Shore Dr & Monroe St",1012,41.86096704,-87.62420166666666,41.880958,-87.6167745
"DuSable Lake Shore Dr & Monroe St","Millennium Park",1008,41.880899166666666,-87.61683233333333,41.8810317,-87.62412233333333
"Adler Planetarium","Streeter Dr & Grand Ave",1005,41.86601983333333,-87.60744633333333,41.892278,-87.612043
"Millennium Park","Shedd Aquarium",985,41.88096033333333,-87.62426316666667,41.86722595682,-87.615393
"DuSable Lake Shore Dr & Monroe St","Adler Planetarium",980,41.88091983333333,-87.616822124,41.866064,-87.60733733333333
"Ellis Ave & 55th St","Ellis Ave & 60th St",979,41.794138,-87.60164716666667,41.78508133333333,-87.60111883333333
"Clark St & Armitage Ave","Clark St & Armitage Ave",968,41.918090166666666,-87.63644966666666,41.918306,-87.636282
"Michigan Ave & Jackson Blvd","Michigan Ave & Jackson Blvd",960,41.8776525,-87.62429966666667,41.87785,-87.62408
"Ellis Ave & 60th St","University Ave & 57th St",957,41.78492766666667,-87.60127466666667,41.79140666666667,-87.60017616666667
"Lincoln Park Conservatory","Lincoln Park Conservatory",945,41.90667083333334,-87.63610116666666,41.923931,-87.6359075
"Theater on the Lake","Michigan Ave & Oak St",942,41.925998,-87.631167769,41.90096,-87.623777
"Lakefront Trail & Wilson Ave","Lakefront Trail & Wilson Ave",923,41.912977833333336,-87.64559216666666,41.96204983333333,-87.64542
"DuSable Lake Shore Dr & Monroe St","Michigan Ave & Oak St",915,41.88091116666666,-87.616850257,41.90096,-87.623777
"Shedd Aquarium","Dusable Harbor",864,41.86714483333333,-87.6155285,41.886976,-87.61283116666667
"Clark St & Lincoln Ave","Clark St & Lincoln Ave",862,41.915530833333335,-87.6348,41.915689,-87.63467483333334
"Field Blvd & South Water St","Field Blvd & South Water St",860,41.8846605,-87.61869383333334,41.886041166666665,-87.617517
"Indiana Ave & Roosevelt Rd","Millennium Park",846,41.867728829,-87.623166919,41.8810317,-87.62409516666666
"Sheffield Ave & Fullerton Ave","Greenview Ave & Fullerton Ave",835,41.925416,-87.65392766666666,41.92533,-87.665855885
"Michigan Ave & Oak St","DuSable Lake Shore Dr & North Blvd",833,41.891496062,-87.627050281,41.91168983333333,-87.626804
"Wabash Ave & 9th St","Wabash Ave & 9th St",832,41.870089666666665,-87.62610466666666,41.870361,-87.62586466666667
"University Ave & 57th St","Kimbark Ave & 53rd St",827,41.791402221,-87.60016533333334,41.799405,-87.594747
"Kimbark Ave & 53rd St","University Ave & 57th St",826,41.799406767,-87.595104814,41.79147683333333,-87.59992183333334
"Adler Planetarium","DuSable Lake Shore Dr & Monroe St",815,41.866031166666666,-87.60746783333333,41.88094466666666,-87.61675766666667
"Fairbanks Ct & Grand Ave","Fairbanks Ct & Grand Ave",809,41.891109166666666,-87.62185066666666,41.891847,-87.620836
"Streeter Dr & Grand Ave","Fairbanks Ct & Grand Ave",806,41.892051,-87.61243833333333,41.891847,-87.62058019638062
"University Ave & 57th St","Ellis Ave & 60th St",805,41.791262333333336,-87.60018866666667,41.785097,-87.601073
"Pine Grove Ave & Waveland Ave","Pine Grove Ave & Waveland Ave",803,41.949127833333336,-87.64672866666666,41.94931416666667,-87.646453
"Michigan Ave & 8th St","Millennium Park",803,41.872135,-87.62448033333334,41.8810317,-87.62408432
"Wabash Ave & Wacker Pl","Wabash Ave & Wacker Pl",794,41.88608216666667,-87.62897283333334,41.886861801,-87.62687833333334
"Michigan Ave & Oak St","DuSable Lake Shore Dr & Monroe St",785,41.90069966666667,-87.62421333333333,41.880958,-87.616743
"DuSable Lake Shore Dr & North Blvd","DuSable Lake Shore Dr & Monroe St",774,41.91157483333333,-87.62697566666667,41.880958,-87.616743
"Cannon Dr & Fullerton Ave","Cannon Dr & Fullerton Ave",773,41.92664383333333,-87.63458933333334,41.926703833333335,-87.63452516666666
"Chicago Ave & Sheridan Rd","Sheridan Rd & Noyes St (NU)",758,42.050364,-87.678004742,42.05818766666667,-87.67754766666667
"Sheridan Rd & Noyes St (NU)","Chicago Ave & Sheridan Rd",758,42.058123,-87.677625,42.050447166666665,-87.67791016666666
"Wabash Ave & Roosevelt Rd","Wabash Ave & Roosevelt Rd",755,41.86699216666667,-87.626108885,41.86712633333333,-87.62599466666667
"DuSable Lake Shore Dr & Monroe St","DuSable Lake Shore Dr & North Blvd",750,41.87539266666667,-87.616838,41.911722,-87.626804
"Lakeview Ave & Fullerton Pkwy","Lakeview Ave & Fullerton Pkwy",747,41.925680166666666,-87.63931483333333,41.925858,-87.638973
"New St & Illinois St","Streeter Dr & Grand Ave",739,41.8899445,-87.619062901,41.892278,-87.612043
"Indiana Ave & Roosevelt Rd","Streeter Dr & Grand Ave",737,41.867763333333336,-87.6232575,41.8921975,-87.612343
"Columbus Dr & Randolph St","Columbus Dr & Randolph St",736,41.88396766666666,-87.62001733333334,41.8842505,-87.61952916666667
"Wells St & Concord Ln","Wells St & Concord Ln",729,41.91179316666667,-87.63513466666667,41.912133,-87.634656
"Broadway & Barry Ave","Broadway & Barry Ave",718,41.937392116,-87.6443205,41.937582,-87.644098
"Streeter Dr & Grand Ave","Indiana Ave & Roosevelt Rd",703,41.891917944,-87.61238466666667,41.867888,-87.623041
"Streeter Dr & Grand Ave","St. Clair St & Erie St",693,41.892098833333336,-87.6123335,41.8937495,-87.62279838323593
"Chicago Ave & Sheridan Rd","Chicago Ave & Sheridan Rd",679,42.050341249,-87.677945852,42.050491,-87.677821
"DuSable Lake Shore Dr & North Blvd","Michigan Ave & Oak St",679,41.91117933333334,-87.626907,41.90096,-87.62378266666667
