"member_casual","date","hour","day_of_week","day","month","year","count"
"casual","2021-12-01",0,"Thursday",1,12,2021,23
"casual","2021-12-01",1,"Thursday",1,12,2021,11
"casual","2021-12-01",2,"Thursday",1,12,2021,9
"casual","2021-12-01",3,"Thursday",1,12,2021,13
"casual","2021-12-01",4,"Thursday",1,12,2021,11
"casual","2021-12-01",5,"Thursday",1,12,2021,25
"casual","2021-12-01",6,"Thursday",1,12,2021,57
"casual","2021-12-01",7,"Thursday",1,12,2021,127
"casual","2021-12-01",8,"Thursday",1,12,2021,127
"casual","2021-12-01",9,"Thursday",1,12,2021,93
"casual","2021-12-01",10,"Thursday",1,12,2021,88
"casual","2021-12-01",11,"Thursday",1,12,2021,137
"casual","2021-12-01",12,"Thursday",1,12,2021,129
"casual","2021-12-01",13,"Thursday",1,12,2021,154
"casual","2021-12-01",14,"Thursday",1,12,2021,166
"casual","2021-12-01",15,"Thursday",1,12,2021,205
"casual","2021-12-01",16,"Thursday",1,12,2021,258
"casual","2021-12-01",17,"Thursday",1,12,2021,271
"casual","2021-12-01",18,"Thursday",1,12,2021,235
"casual","2021-12-01",19,"Thursday",1,12,2021,163
"casual","2021-12-01",20,"Thursday",1,12,2021,140
"casual","2021-12-01",21,"Thursday",1,12,2021,127
"casual","2021-12-01",22,"Thursday",1,12,2021,107
"casual","2021-12-01",23,"Thursday",1,12,2021,80
"casual","2021-12-02",0,"Friday",2,12,2021,28
"casual","2021-12-02",1,"Friday",2,12,2021,39
"casual","2021-12-02",2,"Friday",2,12,2021,21
"casual","2021-12-02",3,"Friday",2,12,2021,11
"casual","2021-12-02",4,"Friday",2,12,2021,14
"casual","2021-12-02",5,"Friday",2,12,2021,22
"casual","2021-12-02",6,"Friday",2,12,2021,53
"casual","2021-12-02",7,"Friday",2,12,2021,143
"casual","2021-12-02",8,"Friday",2,12,2021,171
"casual","2021-12-02",9,"Friday",2,12,2021,155
"casual","2021-12-02",10,"Friday",2,12,2021,152
"casual","2021-12-02",11,"Friday",2,12,2021,217
"casual","2021-12-02",12,"Friday",2,12,2021,225
