"start_station_name","end_station_name","route_freq","start_lat","start_lng","end_lat","end_lng"
"Ellis Ave & 60th St","University Ave & 57th St",5948,41.78493533333334,-87.6012535,41.79129316666667,-87.6003705
"University Ave & 57th St","Ellis Ave & 60th St",5617,41.791307926,-87.6013445,41.784856796,-87.60127583333333
"Ellis Ave & 60th St","Ellis Ave & 55th St",5244,41.78486824,-87.60124983333333,41.794111666666666,-87.6014985
"Ellis Ave & 55th St","Ellis Ave & 60th St",4690,41.79410666666666,-87.601616144,41.78509714636,-87.60109766666666
"State St & 33rd St","Calumet Ave & 33rd St",3222,41.834632166666665,-87.62600216666667,41.83472916666667,-87.61862733333334
"Calumet Ave & 33rd St","State St & 33rd St",3200,41.834620357,-87.65710161666667,41.83471866666667,-87.625813
"Loomis St & Lexington St","Morgan St & Polk St",2865,41.87204,-87.66169433333333,41.871737,-87.6511725
"Morgan St & Polk St","Loomis St & Lexington St",2841,41.871737,-87.66154959797859,41.87211966666667,-87.66150683333333
"University Ave & 57th St","Kimbark Ave & 53rd St",2258,41.791338,-87.6002855,41.79941466666666,-87.594985
"Loomis St & Lexington St","Halsted St & Polk St",2136,41.870923833333336,-87.66393116666667,41.871211,-87.64739133333333
"Kimbark Ave & 53rd St","University Ave & 57th St",2061,41.799372554,-87.59499983333333,41.79145116666667,-87.60122666666666
"Ellis Ave & 60th St","Ellis Ave & 58th St",1972,41.78493616666667,-87.601231456,41.78867366666667,-87.601346
"Ellis Ave & 58th St","Ellis Ave & 60th St",1806,41.78846283333333,-87.6015195,41.785053833333336,-87.60107983333333
"Ellis Ave & 55th St","Kimbark Ave & 53rd St",1801,41.794070833333336,-87.601616,41.799568,-87.59483933333334
"Halsted St & Polk St","Loomis St & Lexington St",1775,41.8716955,-87.646836042,41.87214433333333,-87.661501
"Streeter Dr & Grand Ave","Streeter Dr & Grand Ave",1602,41.89209016666667,-87.626804,41.892216086,-87.612199545
"MLK Jr Dr & 29th St","State St & 33rd St",1512,41.841762333333335,-87.617964,41.834734,-87.6258705
"Kimbark Ave & 53rd St","Ellis Ave & 55th St",1511,41.79941166666666,-87.59505766666666,41.79430062054,-87.60145733333333
"University Ave & 57th St","Lake Park Ave & 56th St",1507,41.79138833333333,-87.60292053222655,41.793242,-87.587782
"State St & 33rd St","MLK Jr Dr & 29th St",1499,41.834620953,-87.625948668,41.8352175,-87.61732666666667
"University Ave & 57th St","Ellis Ave & 55th St",1465,41.79138716666667,-87.60030783333333,41.794244,-87.6014715
"Lake Park Ave & 56th St","University Ave & 57th St",1450,41.79316175,-87.58811683333333,41.791478,-87.599995375
"Loomis St & Lexington St","Loomis St & Lexington St",1381,41.872062166666666,-87.66168916666666,41.872166038,-87.661526918
"Loomis St & Lexington St","Wolcott Ave & Polk St",1373,41.8720695,-87.661693692,41.871251,-87.6736895
"Wolcott Ave & Polk St","Loomis St & Lexington St",1335,41.871026666666666,-87.674541354,41.871708,-87.66203883333333
"May St & Taylor St","Halsted St & Polk St",1236,41.869311333333336,-87.65570116666666,41.871786666666665,-87.64723416666666
